,address,link,beds,baths,sqft,price
0,"400 Halls Hill Road, Alton, NH 03809",https://www.zillow.com/homedetails/400-Halls-Hill-Rd-Alton-NH-03809/86715263_zpid/,1.0,0.0,720,150000
1,"92 Pine Street, Laconia, NH 03246",https://www.zillow.com/homedetails/92-Pine-St-Laconia-NH-03246/2143464326_zpid/,,,3000,199900
2,"25 First Street, Belmont, NH 03220",https://www.zillow.com/homedetails/25-1st-St-Belmont-NH-03220/86700843_zpid/,2.0,1.0,676,274999
3,"15 Brian Ln #A, Laconia, NH 03246",https://www.zillow.com/homedetails/15-Brian-Ln-A-Laconia-NH-03246/86711535_zpid/,2.0,2.0,1000,279900
4,"62 Town House Road, New Hampton, NH 03256",https://www.zillow.com/homedetails/62-Town-House-Rd-New-Hampton-NH-03256/126556078_zpid/,3.0,1.0,1630,279900
5,"27 High Street, Laconia, NH 03246",https://www.zillow.com/homedetails/27-High-St-Laconia-NH-03246/86712967_zpid/,4.0,2.0,2248,325000
6,"9 Glendale Place, Gilford, NH 03249",https://www.zillow.com/homedetails/9-Glendale-Pl-Gilford-NH-03249/92812484_zpid/,3.0,1.0,1788,325000
7,"752 Laconia Road, Belmont, NH 03320",https://www.zillow.com/homedetails/752-Laconia-Rd-Belmont-NH-03220/86707085_zpid/,3.0,1.0,988,350000
8,"366 Depot Street, Belmont, NH 03220",https://www.zillow.com/homedetails/366-Depot-St-Belmont-NH-03220/86707147_zpid/,3.0,2.0,1084,354900
9,"45-47 Overland Street, Laconia, NH 03246",https://www.zillow.com/homedetails/45-47-Overland-St-Laconia-NH-03246/2054220804_zpid/,,,1716,359900
10,"21 Hillrise Lane, Meredith, NH 03253",https://www.zillow.com/homedetails/21-Hillrise-Ln-Meredith-NH-03253/86710154_zpid/,3.0,2.0,1516,365000
11,"108 Young Road, Gilford, NH 03249",https://www.zillow.com/homedetails/108-Young-Rd-Gilford-NH-03249/92814473_zpid/,2.0,2.0,2064,365000
12,"6 Andrews Road, Tilton, NH 03276",https://www.zillow.com/homedetails/6-Andrews-Rd-Tilton-NH-03276/92810443_zpid/,2.0,2.0,2089,375000
13,"17 Mill Street, Tilton, NH 03276",https://www.zillow.com/homedetails/17-Mill-St-Tilton-NH-03276/92816725_zpid/,3.0,2.0,1330,375000
14,"27 Chestnut Street, Tilton, NH 03276",https://www.zillow.com/homedetails/27-Chestnut-St-Tilton-NH-03276/92816696_zpid/,3.0,2.0,2614,385000
15,"30 White Oaks Rd UNIT 8, Laconia, NH 03246",https://www.zillow.com/homedetails/30-White-Oaks-Rd-UNIT-8-Laconia-NH-03246/86709331_zpid/,3.0,3.0,1589,389999
16,"10 Lower Ladd Hill Road, Meredith, NH 03253",https://www.zillow.com/homedetails/10-Lower-Ladd-Hill-Rd-Meredith-NH-03253/86706948_zpid/,3.0,2.0,1461,399999
17,"22 Palmetto Lane, Laconia, NH 03246",https://www.zillow.com/homedetails/22-Palmetto-Ln-Laconia-NH-03246/114234945_zpid/,3.0,2.0,1248,410000
18,"661 Union Avenue, Laconia, NH 03246",https://www.zillow.com/homedetails/661-Union-Ave-Laconia-NH-03246/86711374_zpid/,5.0,2.0,1997,424999
19,"53 Concord Street, Belmont, NH 03220",https://www.zillow.com/homedetails/53-Concord-St-Belmont-NH-03220/246676785_zpid/,9.0,4.0,2276,425000
20,"85 Railroad Avenue, Alton, NH 03810",https://www.zillow.com/homedetails/85-Railroad-Ave-Alton-Bay-NH-03810/86715919_zpid/,3.0,2.0,1738,485000
21,"9 Northview Road, Gilford, NH 03249",https://www.zillow.com/homedetails/9-Northview-Rd-Gilford-NH-03249/92812383_zpid/,3.0,2.0,1428,489000
22,"127 Chestnut Drive, Gilford, NH 03249",https://www.zillow.com/homedetails/127-Chestnut-Dr-Gilford-NH-03249/92812392_zpid/,3.0,2.0,1348,499999
23,"16 Kimball Road, Gilford, NH 03249",https://www.zillow.com/homedetails/16-Kimball-Rd-Gilford-NH-03249/2088605719_zpid/,,,4000,524000
24,"252 Hillcrest Drive, Laconia, NH 03246",https://www.zillow.com/homedetails/252-Hillcrest-Dr-Laconia-NH-03246/86709358_zpid/,3.0,2.0,1800,524999
25,"100 Frank C Gilman Highway, Alton, NH 03809",https://www.zillow.com/homedetails/100-Frank-C-Gilman-Hwy-Alton-NH-03809/307928808_zpid/,3.0,2.0,1974,539900
26,"35 Leavitt Road, Sanbornton, NH 03269",https://www.zillow.com/homedetails/35-Leavitt-Rd-Sanbornton-NH-03269/92809002_zpid/,3.0,1.0,1686,549900
27,"103 Tate Rd, Gilford, NH 03249",https://www.zillow.com/homedetails/103-Tate-Rd-Gilford-NH-03249/92813121_zpid/,3.0,3.0,1680,549900
28,"334 Mountain Road, Gilmanton, NH 03837",https://www.zillow.com/homedetails/334-Mountain-Rd-Gilmanton-Iw-NH-03837/92816410_zpid/,3.0,3.0,2016,549900
